,Listing phrase,Category level 1,Category level 2,Type of NPS,Type of NPS new,Other name 1,Other name 2,Other name 3,Other name 4,Chemical name,Listing phrase length,listing phrase
1286,ABD-FUBINACA,ABD-FUBINACA,NPS,,Cannabinoid,,,,,,,abd-fubinaca
1297,ACETYL-FENTANYL,Acetylfentanyl,NPS,,Sedative - opioid,,,,,,,acetyl-fentanyl
1299,ACHMINACA,ACHMINACA,NPS,Cannabinoids,Cannabinoid,,,,,N‐(adamantan‐1‐yl)‐1‐(cyclohexylmethyl)‐1H‐indazole‐3‐carboxamide,,achminaca
1303,ADAMANTYL-THPINACA,ADAMANTYL-THPINACA,NPS,Cannabinoids,Cannabinoid,,,,,N-(1-adamantyl)-1-(tetrahydropyran-4-ylmethyl) indazole-3-carboxamide,,adamantyl-thpinaca
1304,ADB-BICA,ADB-BICA,NPS,Cannabinoids,Cannabinoid,,,,,"2-[(1-benzyl-1H-indol-3-yl)formamido]-3,3-dimethylbutanamide",,adb-bica
1305,ADB-BINACA,ADB-BINACA,NPS,Cannabinoids,Cannabinoid,,,,,"2-[(1-benzyl-1H-indazol-3-yl)formamido]-3,3-dimethylbutanamide",,adb-binaca
1306,ADB-CHMICA,ADB-CHMICA,NPS,Cannabinoids,Cannabinoid,,,,,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(cyclohexylmethyl)-1H-indole-3-carboxamide",,adb-chmica
1307,ADB-CHMINACA,ADB-CHMINACA,NPS,Cannabinoids,Cannabinoid,MAB-CHMINACA,,,,"N-[1-(aminocarbonyl)-2,2-dimethylpropyl]-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide ",,adb-chminaca
1308,ADB-FUBICA,ADB-FUBICA,NPS,Cannabinoids,Cannabinoid,,,,,"2-({1-[(4-fluorophenyl)methyl]-1H-indol-3-yl}formamido)-3,3-dimethylbutanamide",,adb-fubica
1310,ADB-FUBINACA,ADB-FUBINACA,NPS,,Cannabinoid,,,,,,,adb-fubinaca
1312,ADB-PINACA,ADB-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3- carboxamide)",,adb-pinaca
1313,ADB-PINACA-isomer-1,ADB-PINACA-isomer-1,NPS,Cannabinoids,Cannabinoid,,,,,"N-(1-amino-2,3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide",,adb-pinaca-isomer-1
1314,ADB-PINACA-isomer-2,ADB-PINACA-isomer-2,NPS,Cannabinoids,Cannabinoid,,,,,"N-((2S,3S)-1-amino-3-methyl-1-oxopentan-2-yl)-1-pentyl-1H-indazole-3-carboxamide",,adb-pinaca-isomer-2
1315,ADB-PINACA-isomer-3,ADB-PINACA-isomer-3,NPS,Cannabinoids,Cannabinoid,,,,,(S)-N-(1-amino-1-oxohexan-2-yl)-1-pentyl-1H-indazole-3-carboxamide,,adb-pinaca-isomer-3
1309,ADBF,ADB-FUBINACA,NPS,,Cannabinoid,,,,,,,adbf
1311,ADBICA,ADBICA,NPS,Cannabinoids,Cannabinoid,,,,,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indole-3- carboxamide",,adbica
1317,AH 7921,ah-7921,NPS,,Sedative - opioid,,,,,,,ah 7921
1318,AH-7921,ah-7921,NPS,,Sedative - opioid,,,,,,,ah-7921
1319,AH-7959,AH-7959,NPS,Opioids,Sedative - opioid,,,,,"3,4-dichloro-N-{[1-(piperidin-1-yl)cyclohexyl]methyl}benzamide",,ah-7959
1320,AH-8529,AH-8529,NPS,Opioids,Sedative - opioid,,,,,4-chloro-N-{[1-(dimethylamino)cyclohexyl]methyl}benzamide,,ah-8529
1321,AH-8533,AH-8533,NPS,Opioids,Sedative - opioid,,,,,2-chloro-N-{[1-(dimethylamino)cyclohexyl]methyl}benzamide,,ah-8533
1322,AKB-48,AKB-48,NPS,,Cannabinoid,,,,,,,akb-48
1323,AKB-57,AKB-57,NPS,Cannabinoids,Cannabinoid,,,,,1-adamantyl 1-pentylindazole-3-carboxylate,,akb-57
1394,AKB48,APINACA,NPS,,Cannabinoid,,,,,,,akb48
1326,AL LAD,al-lad,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,al lad
1327,AL-LAD,al-lad,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,al-lad
1325,ALD-52,ald-52,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,ald-52
1370,AM 2201,AM-2201,NPS,,Cannabinoid,,,,,,,am 2201
1365,AM-1220,AM-1220,NPS,,Cannabinoid,,,,,,,am-1220
1366,AM-1220 azepane isomer,AM-1220 azepane isomer,NPS,,Cannabinoid,,,,,1-(1-methylazepan-3-yl)-1H-indol-3-yl](naphthyl)methanone,,am-1220 azepane isomer
1367,AM-1241,AM-1241,NPS,,Cannabinoid,,,,,,,am-1241
1368,AM-1248,AM-1248,NPS,,Cannabinoid,,,,,1-[(N-methylpiperidin-2-yl)methyl]-3- (adamant-1-oyl)indole,,am-1248
1369,AM-1248 azepane isomer,AM-1248 azepane isomer,NPS,,Cannabinoid,,,,,(adamant-1-yl)[1-(1-methylazepan-3-yl)-1H-indol-3-yl] methanone,,am-1248 azepane isomer
1372,AM-2201,AM-2201,NPS,,Cannabinoid,,,,,,,am-2201
1375,AM-2201 N-(4-fluoropentyl),AM-2201 N-(4-fluoropentyl),NPS,,Cannabinoid,,,,,,,am-2201 n-(4-fluoropentyl)
1373,AM-2201 indazole analogue,AM-2201 indazole analogue,NPS,,Cannabinoid,,,,,[1-(5-fluoropentyl)-1H-indazol-3-yl](naphthalen-1-yl) methanone,,am-2201 indazole analogue
1374,AM-2201 indazolecarboxamide analogue,AM-2201 indazolecarboxamide analogue,NPS,,Cannabinoid,,,,,N-1- naphthalenyl-1-(5-fluoropentyl)-1H-indazole-3- carboxamide,,am-2201 indazolecarboxamide analogue
1376,AM-2201-4-methoxynaphthyl-analogue,AM-2201-4-methoxynaphthyl-analogue,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-fluoropentyl)-3-(4-methoxynaphthalene-1-carbonyl)-1H-indole,,am-2201-4-methoxynaphthyl-analogue
1377,AM-2232,AM-2232,NPS,,Cannabinoid,,,,,5-[3-(1-naphthoyl)-1H-indol-1-yl]pentanenitrile,,am-2232
1378,AM-2233,AM-2233,NPS,Cannabinoids,Cannabinoid,,,,,1-[(N-methylpiperidin-2-yl)methyl]-3-(2-iodobenzoyl)indole,,am-2233
1379,AM-679,AM-679,NPS,,Cannabinoid,,,,,(2-iodophenyl)(1-pentyl-1H-indol-3-yl) methanone,,am-679
1380,AM-694,AM-694,NPS,Cannabinoids,Cannabinoid,,,,,1-[(5-fluoropentyl)-1H-indol-3-yl]-(2-iodophenyl)methanone,,am-694
1381,AM-694 chloro derivative,AM-694 chloro derivative,NPS,,Cannabinoid,AM-694 (Chloro),,,,1-(5-chloropentyl)-3-(2-iodobenzoyl)indole,,am-694 chloro derivative
1382,AM-694 ethyl substituted for iodine,AM-694 ethyl substituted for iodine,NPS,,Cannabinoid,,,,,1-(5-fluoropentyl)-3-(2-ethylbenzoyl)indole,,am-694 ethyl substituted for iodine
1383,AM-694 methyl substituted for iodine,AM-694 methyl substituted for iodine,NPS,,Cannabinoid,,,,,1-(5-fluoropentyl)-3-(2-methylbenzoyl)indole,,am-694 methyl substituted for iodine
1371,AM2201,AM-2201,NPS,,Cannabinoid,,,,,,,am2201
1384,AMAPN,AMAPN,NPS,Cathinones,,,,,,2-(methylamino)-1-(naphthalen-1-yl)propan-1-one,,amapn
1385,AMB,AMB,NPS,Cannabinoids,Cannabinoid,,,,,methyl 3-methyl-2-[(1-pentyl-1H-indazol-3-yl)formamido]butanoate,,amb
1386,AMB-CHMICA,AMB-CHMICA,NPS,Cannabinoids,Cannabinoid,MMB-CHMICA,,,,(methyl 2-[[1-(cyclohexylmethyl)indole-3-carbonyl]amino]- 3-methyl-butanoate,,amb-chmica
1387,AMB-CHMINACA,AMB-CHMINACA,NPS,Cannabinoids,Cannabinoid,,,,,Methyl 2-(1-(cyclohexylmethyl)-1H-indazole-3-carboxamide)- 3-methylbutanoate,,amb-chminaca
1388,AMB-FUBICA,AMB-FUBICA,NPS,Cannabinoids,Cannabinoid,,,,,(methyl 2-[[1-[(4-fluorophenyl)methyl]indole-3-carbonyl]amino]-3- methyl-butanoate),,amb-fubica
1389,AMB-FUBINACA,AMB-FUBINACA,NPS,,Cannabinoid,,,,,,,amb-fubinaca
1343,APHP,alpha-PHP,NPS,,Stimulant,,,,,,,aphp
1393,APICA,APICA,NPS,Cannabinoids,Cannabinoid,2NE1,,,,N-(1-adamantyl)-1-pentyl-1H-indole-3- carboxamide,,apica
1395,APINACA,APINACA,NPS,Cannabinoids,Cannabinoid,AKB48,,,,(N-(1-adamantyl)-1-pentyl-1H-indazole-3- carboxamide,,apinaca
1396,APP-BINACA,APP-BINACA,NPS,,Cannabinoid,APP-BUTINACA,,,,N-(2-amino-1-benzyl-2-oxo-ethyl)-1-butyl-indazole-3-carboxamide,,app-binaca
1397,APP-CHMICA,APP-CHMICA,NPS,,Cannabinoid,,,,,,,app-chmica
1398,APP-CHMINACA,APP-CHMINACA,NPS,Cannabinoids,Cannabinoid,,,,,N-(2-amino-1-benzyl-2-oxo-ethyl)-1-(cyclohexylmethyl)indazole3-carboxamide,,app-chminaca
1399,APP-FUBINACA,APP-FUBINACA,NPS,,Cannabinoid,FU-PX-2,,,,N-(2-amino-1-benzyl-2-oxo-ethyl)-1-[(4-fluorophenyl)methyl] indazole-3-carboxamide,,app-fubinaca
1354,APPP,alpha-PPP,NPS,,Stimulant,,,,,,,appp
1401,ATHPINACA,ATHPINACA,NPS,Cannabinoids,Cannabinoid,1-Adamantyl-THPINACA,AD-THPINACA,,,N-(2-Adamantyl)-1-(tetrahydropyran-4-ylmethyl)indazole-3-carboxamide,,athpinaca
1292,Acetildenafil,Acetildenafil,NPS,Piperazine derivates,,,,,,"5-{2-ethoxy-5-[2-(4-ethylpiperazin-1-yl)acetyl]phenyl}-1-methyl-3-propyl-1H,6H,7H-pyrazolo[4,3-d]pyrimidin-7-one",,acetildenafil
1295,Acetyl_Fentanyl,Acetylfentanyl,NPS,,Sedative - opioid,,,,,,,acetyl_fentanyl
1293,Acetylamphetamine,Acetylamphetamine,NPS,Phenethylamines,,,,,,N-(1-Methyl-2-phenylethyl)acetamide,,acetylamphetamine
1294,Acetylbenzylfentanyl,Acetylbenzylfentanyl,NPS,,Sedative - opioid,,,,,(N-(1-benzyl-4-piperidyl)-N-phenyl-acetamide,,acetylbenzylfentanyl
1296,Acetylfentanyl,Acetylfentanyl,NPS,,Sedative - opioid,,,,,,,acetylfentanyl
1298,Acetylnorfentanyl,Acetylnorfentanyl,NPS,,Sedative - opioid,,,,,Acetylnorfentanyl,,acetylnorfentanyl
1300,Acrylfentanyl,Acrylfentanyl,NPS,,Sedative - opioid,,,,,,,acrylfentanyl
1301,Acryloylfentanyl,Acryloylfentanyl,NPS,Opioids,Sedative - opioid,Acryloyl-F,,,,N-(1-phenethylpiperidin-4-yl)-N-phenylacrylamide,,acryloylfentanyl
1316,Afloqualone,Afloqualone,NPS,,,,,,,6-amino-2-(fluoromethyl)-3-(2-methylphenyl)-3H-quinazolin-4-one,,afloqualone
1324,Akuamma seed,Akuamma seed,NPS,,,,,,,,,akuamma seed
1328,Allylescaline,allylescaline,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,allylescaline
1352,Alpha-PNP,Alpha-PNP,NPS,,,,,,,alpha-pyrrolidinononaphenone,,alpha-pnp
1353,Alpha-PPP,alpha-ppp,NPS,,Stimulant,,,,,,,alpha-ppp
1364,Alpha-TMT,Alpha-TMT,NPS,,,,,,,2-(1H-indol-3-yl)-1-methyl-ethyl)dimethylamine,,alpha-tmt
1334,Alpha-methylacetylfentanyl,Alpha-methylacetylfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-[1-(1-phenylpropan-2-yl)piperidin-4-yl]acetamide,,alpha-methylacetylfentanyl
1335,Alpha-methylbutyrylfentanyl,Alpha-methylbutyrylfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-[1-(1-phenylpropan-2-yl)piperidin-4-yl]butanamide,,alpha-methylbutyrylfentanyl
1390,Amfonelic,Amfonelic,NPS,,Stimulant,,,,,,,amfonelic
1391,Amfonelic acid,Amfonelic acid,NPS,,Stimulant,,,,,,,amfonelic acid
1400,Arecoline,Arecoline,NPS,,Stimulant,AREC,,,,"methyl methyl-1,2,5,6-tetrahydropyridine-3-carboxylate",,arecoline
1302,Aryloyl-fentanyl,Acryloylfentanyl,NPS,,Sedative - opioid,,,,,,,aryloyl-fentanyl
1402,Ayahuasca,Ayahuasca,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,ayahuasca
1404,BAY-59-3074,BAY-59-3074,NPS,Cannabinoids,Cannabinoid,,,,,"3-[2-cyano-3-(trifluoromethyl)phenoxy]phenyl 4,4,4-trifluorobutane-1-sulfonate",,bay-59-3074
1405,BB-22,BB-22,NPS,,Cannabinoid,,,,,,,bb-22
1418,BK-2C-B,BK-2C-B,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,bk-2c-b
1584,BK-EBDP,Ephylone,NPS,,Stimulant,,,,,,,bk-ebdp
1420,BK-ETHYL-K,bk-ethyl-k,NPS,,Stimulant,,,,,,,bk-ethyl-k
1421,BK-Ethyl-Ketamine,BK-Ethyl-K,NPS,,Stimulant,,,,,,,bk-ethyl-ketamine
1429,BK-MDDMA,bk-mddma,NPS,,,,,,,,,bk-mddma
1603,BK-MDEA,ethylone,NPS,,Empathogens-Entactogens,,,,,,,bk-mdea
1863,BK-MDMA,methylone,NPS,,Empathogens-Entactogens,,,,,,,bk-mdma
1435,BMAPN,BMAPN,NPS,,,,,,,2-(methylamino)-1-(naphthalen-2-yl)propan-1-one,,bmapn
1436,BMDB,BMDB,NPS,Cathinones,,"1-(1,3-benzodioxol-5-yl)-2-(benzylamino)butan-1-one",,,,"2-benzylamino-1-(3,4-methylenedioxyphenyl)butan-1-one",,bmdb
1437,BMDP,bmdp,NPS,,,,,,,,,bmdp
1440,BOH,BOH,NPS,,Hallucinogen/dissociative/psychedelic,beta-Meo-MDMA,,,,"3,4-methylenedioxy-ß-methoxyphenethylamine",,boh
1452,BTCP,BTCP,NPS,,,BCP,,,,1-[1-(2-Benzo[b]thienyl)cyclohexyl)]piperidine,,btcp
1459,BUTYR-FENTANYL,butyrfentanyl,NPS,,Sedative - opioid,,,,,,,butyr-fentanyl
1461,BZP,bzp,NPS,,Stimulant,,,,,,,bzp
1406,Benocyclidine,Benocyclidine,NPS,,Stimulant,,,,,1-[1-(1-benzothiophen-2-yl)cyclohexyl]piperidine,,benocyclidine
1075,Benzedrone,4-MBC,NPS,,Stimulant,,,,,,,benzedrone
1407,Benzodioxole-F,Benzodioxole-F,NPS,Opioids,Sedative - opioid,,,,,"N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]-2H-1,3-benzodioxole-5-carboxamide",,benzodioxole-f
1408,Benzodioxolefentanyl,Benzodioxolefentanyl,NPS,,Sedative - opioid,,,,,Benzodioxolefentanyl,,benzodioxolefentanyl
1409,Benzoylbenzylfentanyl,Benzoylbenzylfentanyl,NPS,,Sedative - opioid,,,,,Benzoylbenzylfentanyl,,benzoylbenzylfentanyl
1410,Benzoylfentanyl,Benzoylfentanyl,NPS,,Sedative - opioid,phenylfentanyl,,,,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]benzamide,,benzoylfentanyl
1411,Benzoyloylbenzylfentanyl,Benzoyloylbenzylfentanyl,NPS,,Sedative - opioid,,,,,N-(1-benzyl-4-piperidyl)-N-phenyl-benzamide,,benzoyloylbenzylfentanyl
1412,Benzylcarfentanil,Benzylcarfentanil,NPS,Opioids,Sedative - opioid,,,,,methyl 1-benzyl-4-(N-phenylpropanamido)piperidine-4-carboxylate,,benzylcarfentanil
1413,Benzylfentanyl,Benzylfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-[1-(phenylmethyl)-4-piperidinyl]-propanamide,,benzylfentanyl
1415,Beta-methylfentanyl,Beta-methylfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-[1-(2-phenylpropyl)piperidin-4-yl]propanamide,,beta-methylfentanyl
1416,Bisfluoromodafinil,Bisfluoromodafinil,NPS,,Stimulant,"CRL-40,940 ",flmodafinil,lauflumide,,(2-Amino-2-oxoethyl)[bis(4-fluorophenyl)methyl]sulfoniumolate,,bisfluoromodafinil
1423,Bk-IBP,Bk-IBP,NPS,Cathinones,,NEB indane analogue,,,,"1-(2,3-dihydro-1H-inden-5-yl)-2-(ethylamino)butan-1-one",,bk-ibp
1424,Bk-IMP,Bk-IMP,NPS,Cathinones,,,,,,"1-(2,3-dihydro-1H-inden-5-yl)-2-(methylamino)propan-1-one",,bk-imp
1417,Bk2-CB,BK-2C-B,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,bk2-cb
1434,Blue Egyptian water lily,Blue Egyptian water lily,NPS,,,,,,,Blue Egyptian water lily,,blue egyptian water lily
1439,Bn-4MeMABP,Bn-4MeMABP,NPS,,,,,,,2-(benzylamino)-1-(4-methylphenyl)butan-1-one,,bn-4memabp
1442,Brephedrone,brephedrone,NPS,,Empathogens-Entactogens,,,,,,,brephedrone
1443,Bromadol,Bromadol,NPS,,,,,,,,,bromadol
1444,Bromadoline,Bromadoline,NPS,Opioids,Sedative - opioid,U-47931E,,,,4-bromo-N-(2-(dimethylamino)cyclohexyl)benzamide,,bromadoline
1445,Bromantan,Bromantan,NPS,,,,,,,N-(4-bromophenyl)adamantan-2-amine,,bromantan
1446,Bromantane,Bromantane,NPS,,Stimulant,,,,,Bromantane,,bromantane
1448,Bromazolam,Bromazolam,NPS,Benzodiazepines,Sedative - benzodiazepine,,,,,"(8-bromo-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4] benzodiazepine",,bromazolam
1450,Bromo-Dragonfly,bromo-dragonfly,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,bromo-dragonfly
1451,Bromo-STP,Bromo-STP,NPS,,,,,,,,,bromo-stp
1449,BromoDragonfly,bromo-dragonfly,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,bromodragonfly
1454,Bufotenine,Bufotenine,NPS,,,,,,,3-(2-dimethylaminoethyl)-1H-indol-5-ol,,bufotenine
1455,Buphedrone,buphedrone,NPS,,Stimulant,,,,,,,buphedrone
1456,Butylhexedrone,Butylhexedrone,NPS,Cathinones,,,,,,2-(butylamino)-1-phenylhexan-1-one,,butylhexedrone
1457,Butylone,butylone,NPS,,Empathogens-Entactogens,,,,,,,butylone
1458,Butyrfentanyl,butyrfentanyl,NPS,,Sedative - opioid,,,,,,,butyrfentanyl
1460,Butyryl-Fentany,Butyrfentanyl,NPS,,Sedative - opioid,,,,,,,butyryl-fentany
1462,C30-NBOMe,c30-NBOMe,NPS,,,,,,,,,c30-nbome
1466,CARFENTANIL,carfentanil,NPS,,Sedative - opioid,,,,,,,carfentanil
1470,CBL-018,CBL-018,NPS,,Cannabinoid,,,,,naphthalen-1-yl 1-pentyl-1H-indole-3-carboxylate,,cbl-018
1472,CHM-122,CHM-122,NPS,Cannabinoids,Cannabinoid,,,,,1-(cyclohexylmethyl)-3-(4-methylnaphthalene-1-carbonyl)-1H-indole,,chm-122
1482,CL-PVP,CL-PVP,NPS,,,,,,,,,cl-pvp
1484,CP 47,CP 47,NPS,,Cannabinoid,,,,,,,cp 47
1485,"CP 47,497","CP 47,497",NPS,,Cannabinoid,"CP-47,497",,,,"5-(1,1-dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol",,"cp 47,497"
1486,CP 55,CP 55,NPS,,Cannabinoid,,,,,,,cp 55
1488,"CP-47,497-C6","CP-47,497-C6",NPS,,Cannabinoid,"CP 47,497-C6 homologue",,,,"5-(1,1-dimethylhexyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol",,"cp-47,497-c6"
1489,"CP-47,497-C8","CP-47,497-C8",NPS,Cannabinoids,Cannabinoid,"CP 47,497-C8 homologue",,,,"5-(1,1-dimethyloctyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol",,"cp-47,497-c8"
1490,"CP-47,497-C9","CP-47,497-C9",NPS,,Cannabinoid,"CP 47,497-C9 homologue",,,,"5-(1,1-dimethylnonyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-phenol",,"cp-47,497-c9"
1491,"CP-55,940","CP-55,940",NPS,,Cannabinoid,,,,,,,"cp-55,940"
1487,"CP47,497 (C8 + C2) variant","CP47,497 (C8 + C2) variant",NPS,,Cannabinoid,,,,,,,"cp47,497 (c8 + c2) variant"
1492,CRA-13,CRA-13,NPS,,Cannabinoid,CB-13,SAB-378,,,naphthalen-1-yl-(4-pentyloxynaphthalen-1-yl)methanone,,cra-13
1494,CUMYL-4CN-B7AICA,CUMYL-4CN-B7AICA,NPS,Cannabinoids,Cannabinoid,,,,,"1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-pyrrolo[2,3-b] pyridin-3-carboxamide",,cumyl-4cn-b7aica
1496,CUMYL-5F-P7AICA,CUMYL-5F-P7AICA,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-7-azaindole -3-carboxamide,,cumyl-5f-p7aica
1497,CUMYL-5FPICA,CUMYL-5FPICA,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indole-3- carboxamide ,,cumyl-5fpica
1498,CUMYL-5FPINACA,CUMYL-5FPINACA,NPS,Cannabinoids,Cannabinoid,CUMYL-5F-PINACA,,,,1-(5-fluoropentyl)-N-(1-methyl-1-phenylethyl)-1H-indazole-3- carboxamide ,,cumyl-5fpinaca
1499,CUMYL-BICA,CUMYL-BICA,NPS,Cannabinoids,Cannabinoid,,,,,1-butyl-N-(2-phenylpropan-2-yl)-1H-indole-3-carboxamide,,cumyl-bica
1501,CUMYL-PICA,CUMYL-PICA,NPS,Cannabinoids,Cannabinoid,,,,,1-pentyl-N-(2-phenylpropan-2-yl)-1H-indole-3-carboxamide,,cumyl-pica
1502,CUMYL-PINACA,CUMYL-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,1-pentyl-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide,,cumyl-pinaca
1503,CUMYL-PIPETINACA,CUMYL-PIPETINACA,NPS,Cannabinoids,Cannabinoid,,,,,N-(2-phenylpropan-2-yl)-1-[2-(piperidin-1-yl)ethyl]-1H-indazole-3-carboxamide,,cumyl-pipetinaca
1504,CUMYL-THPINACA,CUMYL-THPINACA,NPS,Cannabinoids,Cannabinoid,,,,,N-(2-phenylpropan-2-yl)-1-((tetrahydro-2H-pyran-4-yl)methyl)-1- H-indazole-3-carboxamide,,cumyl-thpinaca
1463,Calea zacatechichi,Calea zacatechichi,NPS,,,,,,,Calea zacatechichi,,calea zacatechichi
1464,Camfetamine,Camfetamine,NPS,,Stimulant,,,,,N-methyl-3-phenylbicyclo[2.2.1]heptan-2-amine,,camfetamine
1465,Cannabipiperidiethanone,Cannabipiperidiethanone,NPS,,Cannabinoid,,,,,Dimethylheptylpyran,,cannabipiperidiethanone
1627,Captagon,Fenethylline,NPS,,Stimulant,,,,,,,captagon
1468,Car-Fentanyl,Carfentanil,NPS,,Sedative - opioid,,,,,,,car-fentanyl
1467,Carfentanyl,Carfentanil,NPS,,Sedative - opioid,,,,,,,carfentanyl
1469,Cathinone,cathinone,NPS,,Stimulant,,,,,,,cathinone
1471,Chacruna,Chacruna,NPS,,,,,,,,,chacruna
1473,Cinazepam,Cinazepam,NPS,,Sedative - benzodiazepine,,,,,"4-[[7-bromo-5-(2-chlorophenyl)-2-oxo-1,3-dihydro-1,4-benzodiazepin-3- yl]oxy]-4-oxo-butanoic acid",,cinazepam
1474,"Cl-218,872","Cl-218,872",NPS,,,,,,,"3-methyl-6-[3-(trifluoromethyl)phenyl]-[1,2,4]triazolo[3,4-f]pyridazine",,"cl-218,872"
1479,Clephedrone,clephedrone,NPS,,Stimulant,,,,,,,clephedrone
1480,Clonazolam,clonazolam,NPS,,Sedative - benzodiazepine,,,,,,,clonazolam
1481,Cloniprazepam,Cloniprazepam,NPS,Benzodiazepines,Sedative - benzodiazepine,,,,,"5-(2-chlorophenyl)-1-(cyclopropylmethyl)-7-nitro-1,3-dihydro-2H- [1,4]-benzodiazepin-2-one",,cloniprazepam
1483,Coluracetam,Coluracetam,NPS,Piperidines & pyrrolidines,,,,,,"N-{2,3-dimethyl-5H,6H,7H,8H-furo[2,3-b]quinolin-4-yl}-2-(2-oxopyrrolidin-1-yl)acetamide",,coluracetam
1493,Crotonylfentanyl,Crotonylfentanyl,NPS,,Sedative - opioid,,,,,,,crotonylfentanyl
1495,Cumyl-4CN-BINACA,Cumyl-4CN-BINACA,NPS,Cannabinoids,Cannabinoid,,,,,1-(4-cyanobutyl)-N-(1-methyl-1-phenylethyl)-1H-indazole-3-carboxamide,,cumyl-4cn-binaca
1500,Cumyl-CH-MeGaClone,Cumyl-CH-MeGaClone,NPS,Cannabinoids,Cannabinoid,,,,,"5-cyclohexylmethyl-2-(2-phenylpropan-2-yl)-2,5-dihydro-1H-pyrido[4,3-b]indol-1-one",,cumyl-ch-megaclone
1505,Cyclobutyl fentanyl,Cyclobutyl fentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]cyclobutanecarboxamide,,cyclobutyl fentanyl
1506,Cyclohexyl fentanyl,Cyclohexyl fentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]cyclohexanecarboxamide,,cyclohexyl fentanyl
1507,Cyclopentanyl-F,Cyclopentanyl-F,NPS,Opioids,Sedative - opioid,,,,,N‐phenyl‐N‐[1‐(2‐phenylethyl)piperidin‐4‐yl]cyclopentanecarboxamide,,cyclopentanyl-f
1508,Cyclopentylfentanyl,Cyclopentylfentanyl,NPS,Opioids,Sedative - opioid,Cyclopentenyl fentanyl,,,,(N-phenyl-N-[1-(2-phenylethyl)-4-piperidyl] cyclopentanecarboxamide,,cyclopentylfentanyl
1510,Cyclopropyl-norfentanyl,Cyclopropyl-norfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-phenyl-N-(piperidin-4-yl)cyclopropanecarboxamide,,cyclopropyl-norfentanyl
1509,Cyclopropylfentanyl,Cyclopropylfentanyl,NPS,,Sedative - opioid,Cyclopropyl fentanyl,,,,N-phenyl-N-[1-(2-phenylethyl)-4-piperidyl] cyclopropanecarboxamide,,cyclopropylfentanyl
1511,D2PM,D2PM,NPS,,Stimulant,Diphenylprolinol,,,,"(S)-(-)-,-Diphenyl-2-pyrrolidinylmethanol",,d2pm
1512,DALT,DALT,NPS,,Hallucinogen/dissociative/psychedelic,"N,N-diallyltryptamine",,,,N-allyl-N-[2-(1H-indol-3-yl)ethyl]prop-2-en-1-amine,,dalt
1515,DB-MDBP,DB-MDBP,NPS,Piperazine derivates,Hallucinogen/dissociative/psychedelic,DFMDBZP,,,,"1-((2,2-difluorobenzo[D][1,3]dioxol-5-yl)methyl)piperazine",,db-mdbp
1516,DBZP,DBZP,NPS,Piperazine derivates,,,,,,"1, 4-Dibenzylpiperazine",,dbzp
1517,DCMP,DCMP,NPS,,Stimulant,"3,4-dichloromethylphenidate",,,,"methyl (2R)-2-(3,4-dichlorophenyl)-2-[(2R)-piperidin-2- yl]acetate",,dcmp
